,id,premise,hypothesis,lang_abv,language,label
11023,6818c68c9b,2010 میں قید غیر ملکیوں کے لیے اور اس کے بعد ہر سال، منتظم سیکشن 474 کے مطابق ایک مختص کرے گا اور سیکشن 409 کے تحت قید غیر ملکیوں کے لیے فوائد کی نیلامی کرے گا۔,وہ پارا کو محدود کرتے ہیں.,ur,Urdu,0
4614,34b4489e9a,This majestic hall is used for contemporary entertainment when the Queen hosts dinners and banquets.,Invitations to dinner with the Queen in the Royal Dining Room are in high demand.,en,English,1
6768,dc00e46bb5,"Учудващо е, че тази аномалия все още продължава, дори в много съвременни източници.","Тази аномалия е съществувала преди, съществува и сега.",bg,Bulgarian,0
9290,af83e1b2db,"Today, it is surrounded by ancient columns and expensive shops.","There are pillars all around, but there are no shops around.",en,English,2
5360,83d1a4bc2e,"Bu oyunların fileli, duvarlı ya da her ikisi birden olan oyun alanlarında oynandığını kimse bilmiyor.","Karmaşık kural kitabı, oyunun tüm olası kurallarını özetler.",tr,Turkish,2
8638,b1751f73e7,The relatively small crowds mean that fans sit close to the action.,"Fans stay closer to the stage, because we can see a smaller crowd.",en,English,0
10753,d86615084a,กิจกรรมหรืออวัยวะทางเพศหรือขับถ่าย,กิจกรรมบางอย่างขับเลือด,th,Thai,1
7104,18f4851db8,في العام الماضي ، تعرض أكثر من 48000 طفل من ولاية نيويورك لسوء المعاملة والإهمال - الإيذاء والتحرش والإيذاء العاطفي والحرمان من الرعاية والإشراف المناسبين.,ثلاثة أطفال فقط في ولاية نيويورك تعرضوا لسوء المعاملة والإهمال في العام الماضي.,ar,Arabic,2
3736,091508f9a0,"Έχει επίσης δηλώσει ότι ο Atta συμπεριέλαβε έναν πυρηνικό σταθμό στον προκαταρκτικό κατάλογο των στόχων του, αλλά ο Μπιν Λάντεν αποφάσισε να εγκαταλείψει αυτή την ιδέα.","Ο τελικός κατάλογος περιελάμβανε τέσσερις διαφορετικούς πυρηνικούς σταθμούς, καθένας από τους οποίους επιλέχθηκε από τον Μπιν Λάντεν.",el,Greek,2
2992,57ed922837,منسلک جوابی کارڈ اور لفافہ ہے جسے ہم امید کرتے ہیں کہ آپ 1994 کے اوائل میں IU کو تحفہ سمجھیں گے۔,مجھے امید ہے کہ آپ ہمیں رقم بھیجیں گے۔,ur,Urdu,0
10658,2f65505b68,CHAPTER 3: THE MISSION OF THE FEDERATION PP,Chapter 3 covers topics unrelated to the Federal PP Mission.,en,English,2
2073,9842786aa7,Tuppence took the bell and Jane took the knocker.,Tuppence and Jane didn't go to the door.,en,English,2
9877,ef1bcec2fa,"Quoi qu'il en soit, nous avons eu environ euh, ah, je ne me souviens pas des chiffres.",Je connais les chiffres exacts pour tout,fr,French,2
228,699cda3b5d,Very simply.,Not complicated.,en,English,0
4491,8271fb37f1,"Führende Organisationen verwalten ihre Informationsressourcen nicht durch zentrale oder dezentrale CIO-Organisationen, sondern durch eine Kombination dieser Strukturen.",Organisationen verwalten ihre Informationsressourcen auf unterschiedliche Weise.,de,German,0
10989,fa88155e8a,นั่นเป็นเหตุผลที่กังวลหากชุดและการตกแต่งไม่สอดคล้องกัน,เป็นเรื่องปกติที่เสื้อผ้าและเครื่องประดับจะไม่เข้ากัน,th,Thai,0
10505,fbfaa58bc0,Pick up a map from the tourist office here and ask about walking tours.,The staff at the Tourist Office are friendly and informative.,en,English,1
1835,2720a1773f,в целом Речь была произнесена давно.,Большинство слов довольно старые.,ru,Russian,0
222,bd5170cc00,"In the humble surroundings of Victory, Dinard has preserved all the best properties of luxury villas and long, paved areas, luxury hotels, luxury boutiques, discothyques, casinos, parks and gardens, and an Olympic-sized public swimming pool. .",Dinard retains a Victorian sensibility while also incorporating elements of luxury.,en,English,0
10100,e2f3561d8b,Hatta bazı Atinalılar Meclisi Makedon kralına savaş ilan etmesi için kışkırttı.,Bazı Atinalılar savaş ilan etmek istediler.,tr,Turkish,0
7173,3959c5765a,On the use of qualitative methods in policy A review of three multi-site studies.,Researchers found that approaching policy via qualitative methods was to be preferred over other methods.,en,English,1
8467,0b6dfad320,"Ikiwa ndivyo, uteuzi wa kawaida tu ndio utafanya.","Ikiwa ndivyo, basi iliumbwa hivyo na Mungu.",sw,Swahili,2
4554,48c1b7ad2a,"Trays come in all sizes, and the wooden trays make a great portable table for the home.",Many trays are small and unnecessary.,en,English,1
3130,13b508cfee,"Mara nyingi, hotuba hizi za mapema zilijulikana kama sanaa ya watu.",Sanaa za kale zilikuwa zinajulikana kama sanaa ya miungu.,sw,Swahili,2
10892,f8ed4284d7,"oh yes yes yes yes that's true too, that's true",That is true.,en,English,0
4167,0851d4b5c9,This can include forward and backward plans and allows for the synthesis of many individual case studies from different times and places.,It can bring future and retrospective designs for the design of new systems.,en,English,1
3714,4bd3627ade,We also advocate enhanced reporting on key federal performance and outlook information.,We do not support enhanced reporting against basic federal performance.,en,English,2
214,8b0d14218c,หัวข้อ V ที่ส่งคำขออนุญาตต้องเปิดให้แสดงความคิดเห็นสาธารณะ,ต้องอนุญาตให้มีการแสดงความคิดเห็นสาธารณะ,th,Thai,0
8517,cf0b006688,"Если вы ищете кокосовый ром и другой фруктовый ром, вы найдете здесь огромное разнообразие.",В ром не добавляют фруктовые ароматизаторы.,ru,Russian,2
5291,4ad8960c21,"I don't know all the answers, friend.",I'm not sure about anything.,en,English,1
11840,1df5f87478,في الحرب ضد الإرهاب ، تبدو هذه الفروق مصطنعة إلى حد كبير.,هناك معركة ضد الإرهاب.,ar,Arabic,0
9320,a1b5e18da2,Ile de R??,Ile de R.,en,English,0
8119,c776ba52fe,I think yes I think and I think it's very important,"""I think that it's not something we should be bothered with.""",en,English,2
10864,d98297a337,One that he brought back to about the length of his forearm.,He broke a branch so that it was the same length as his forearm.,en,English,1
121,247c31cc1f,"Ως εκ τούτου, ξέρω ότι πηγαίνετε στα όρια για να είστε συμπονετικοί και να φροντίζετε τους άλλους.",Ξέρω ότι δεν νοιάζεσαι καθόλου για τους ανθρώπους.,el,Greek,2
8999,cac36c3b78,"Still, I suppose that can be overcome.",There are some things you should ignore.,en,English,0
2857,56553d840f,uh yeah when i mentioned i did this camping out of the car i actually did the situation like this but what's interesting is that it's thanks to Texas Instruments,"I only camp in a trailer, never in a car.",en,English,2
11335,e4fd72e0b9,and then i left The world is exploding behind me.,"After I detonated the bomb, the world exploded.",en,English,1
8601,f7113a4018,يخطو على أصابع كبيرة قوية,أصابع القدم واسعة في الحجم,ar,Arabic,0
10176,6dbf7eb65f,"Unajiweka mikononi mwa Askofu, Pitt alimuonya.",Pitt hakusema chochote kwao.,sw,Swahili,2
11301,b3414a5509,The Drawing Room was partially destroyed by fire in 1941 and its furnishings are faithful reproductions; The huge (repaired) Ming punch bowl is remarkable.,The Ming punch bowl is used at employee parties.,en,English,1
6066,121327d876,it would be nice how about,I'm interested in what you have to say.,en,English,0
1752,3dcc6ea50f,"Hii ilitokea Desemba iliyopita, alipata kura mia moja.",Alifaulu kwa asilimia 99.,sw,Swahili,2
553,abdce12278,参加我们节目的孩子们通过课堂课程提前准备戏剧经历,孩子们来看我们的节目。,zh,Chinese,0
7468,070d11274d,"Wanicki & Company was awarded the Wall Street Journal, the New York Times's A.M.",the Wall Street Journal has also beaten other,en,English,1
8930,2bd4a39329,And environmentalists have occasionally attacked religion for promoting human domination over the natural world.,Environmentalists have never attacked religions.,en,English,2
8326,7931a6acc7,"Life, unlike Reich's book, is not a series of moral fables.",Reich's book is a series of moral fables.,en,English,0
10966,4d0baaa09c,uh my uh roommate took a voiceover course,There was no voiceover course available to take.,en,English,2
7390,ae6dceab39,Ilikuwa ya kufurahisha sana na nilifurahishwa sana. Nadhani ilikuwa wiki moja baada ya kuonekana,Nilikuwa pale usiku ulifunguliwa kwa hakika.,sw,Swahili,2
9699,68c7522510,"Kompozisyonun yanı sıra, müziğin çoğunluğu vurmalı çalgılardan oluşur ve eylemi ve modu desteklemeye ve yansıtmaya hizmet eder.",Trampet müziği her yerde.,tr,Turkish,1
6143,76c6ff86e1,"Тогда я начал искать, узнал, где Рамона, и искал ее оттуда.",Я пригласил Рамону к себе домой.,ru,Russian,1
6108,a849caf8b4,"He was of two minds, one rejoicing in the peace of this village.",He loved the smiling villagers who loved each other.,en,English,1
7023,93265c6ff7,"Trial judge Paula Jones has had an interesting pre-match with Bill Clinton, WordPress says.",It has been claimed that the judge had an argument with the man.,en,English,0
124,dd883e1f46,To the left of the entrance ramp is an open space once occupied by the Temple of Athena. Near the remains of the Pergamene Library.,There are no visible remains of the slope.,en,English,2
9966,e96876bb6b,it it i think that is the biggest problem when you really not you don't don't really need the stuff but the nicer looking clothes are the more expensive nicely tailored clothes,You will spend more money on well-designed clothes that you don't need.,en,English,0
10216,bd6f699866,oh i never listed,I've never listed before because it was too difficult.,en,English,1
7920,d6c7f9e890,He has never felt better.,He was in very good health.,en,English,0
11487,4d9945671c,"Aber Sie wissen, dass er in vielerlei Hinsicht wie ein Bauernsohn war, weil er der Sohn eines Mannes war, der viel Land besaß.",Sein Vater hat in seinem Leben nie etwas besessen.,de,German,2
8261,befffe19c7,..แต่วินาทีที่เขาพบว่าเขาติดอยู่ตรงกลางระหว่างเพื่อนสองคน,เขาไม่รู้ว่าจะเลือกข้างไหนระหว่างเพื่อนทั้งสองของเขา,th,Thai,1
7286,56ff3a1ba8,La chose décente et sensée à faire est d'informer le président.,Dire au président serait considéré comme insensible.,fr,French,2
8168,a6c1748754,"How long, Thaler and Siegel ask, will it take for most investors to come to terms with the fact that equity premiums are so high?",Thaler and Siegel wondered how long it would take for most investors to realize and understand the effects of excessive equity premiums.,en,English,0
10911,4e422d3da7,"He looks extremely tired and bored, but you get the feeling that underneath he is like steel, all 38 sharp and sparkling.",It looks fresh and enthusiastic about it.,en,English,2
5592,cbf7931502,"Salt, too, is dried in giant, square pans in Las Salinas to the south.","To the south at Las Salinas, salt is dried in pans for future use.",en,English,0
7878,17a2aa03d4,"Просто отделете долната част, маркирайте опцията, която е валидна, направете промени в адреса си, ако е необходимо, и ги изпратете в приложения плик.",Приложен е бял плик с вашия адрес.,bg,Bulgarian,1
4036,be87448a05,"Things were strong, but somewhat brittle.",The plaster is strong. but fragile,en,English,1
3992,6e75674a09,ok i guess i'll go back to my laundry,"I will complete my weekly load of hand washing, which is now at 80 percent.",en,English,1
2942,55cd9ddb94,I always wait for the movie I never have time to read the book,"I don't have time to read the book, so I always look forward to the movie.",en,English,0
2467,982707f751,พิพิธภัณฑ์การเดินเรือย้อนรอยประวัติศาสตร์ของท่าเรือแปซิฟิก,พิพิธภัณฑ์การเดินเรือมีประวัติยาวนานถึง 100 ปี,th,Thai,1
11505,a8ab9eaf30,你知道他没有遵守任何的规则，所以被踢出局了，我根本不在乎。,他循规蹈矩但仍然被踢了出去,zh,Chinese,2
8161,69e37ddd83,They found a lot of water falling from the mountains and more wood than anyone knew what to do with.,There was a lot of trouble with the mold that was caused by the water.,en,English,1
1837,11f57e9635,"Vives y aprendes, ya sabes, cuando intentas, eh, volar.",Probar un avión puede enseñarte mucho.,es,Spanish,0
5104,8172554ac2,"when we meet the girl again She gets a job as a domestic worker at a large crumbling Roman townhouse owned by an Englishman, Jason Kinsky (David Thewlis).","When we meet the young woman, she was unemployed.",en,English,2
5782,ac4af0afcb,"Kleine Dinge wie diese machten einen großen Unterschied in dem, was ich zu tun versuchte.",Ich habe es nicht einmal versucht.,de,German,2
4379,68d2fc58d9,Special Importance -- The American public takes their health hazards seriously. including the risk of death caused by inhaling small particles and exposure to mercury from fish consumption.,Mercury exposure is dangerous and can occur from ingestion of fish.,en,English,0
3250,363df72dd7,"There was no one there, no bones at all.",The space was completely empty and there were no remains in it.,en,English,0
1173,dd6873f92c,"ओह, मानव जीवन की कीमत कितनी है और क्या आप किसी को ठीक कर सकते हैं या नहीं",कोई भी इंसान पुनर्वास के लायक नहीं है।,hi,Hindi,2
3474,4fc6d1c6c0,"excessive violence, I was worried that it would be a shame if kids started imitating that",It was non-violent so it would be great for kids to follow suit.,en,English,2
7928,5231fa98cb,Unajua nani ataelewa.,Nadhani unajua nani anaweza kuelewa.,sw,Swahili,0
1744,a8ea4fab86,"Aquí, a lo largo de Oil Creek, los indios extraían aceite del agua para uso doméstico y los colonos blancos lo embotellaban con fines terapéuticos y lo llamaban aceite de Séneca.",Tanto los indios como los colonos blancos usaban el aceite de Oil Creek.,es,Spanish,0
4991,02e8580f12,"Unfortunately, following the trend of conceptualism, Kentridge starred in one film on the show, which used much rougher animation of sketches than the films he would normally make interspersed with. documentary footage of the apartheid era.",Kentridge never entered a movie at any show during his life.,en,English,2
2674,cf062fd134,Yeah and then I probably spent the last eleven years in Massachusetts so you know that makes me an honorary Yankee or,I have lived in Massachusetts for eleven years because of my mother.,en,English,1
8212,f1a2f085eb,Programs in Michigan and the District of Columbia received one-year grant terms for 2002.,Programs in Michigan receive one-year grant terms.,en,English,0
2209,e41d784f07,"We hate them because they are smarter, more studious, or more focused than we are.",We have no ill will towards them.,en,English,2
147,34cd54592e,เมื่อทรายก่อตัวแล้วทรายจะเข้ามุมเพื่อความสมดุล แล้วขยายไปที่ขอบโต๊ะ,ทรายถูกตักโดยรถปราบดิน,th,Thai,1
10732,393984bbe1,Έχει προβλήματα με τον επίσκοπο από τότε που προσγειώθηκε.,Υπήρξαν προβλήματα με τον Bishop γιατί δεν τον συμπαθεί κανένας.,el,Greek,1
4647,e8f6e34754,一旦飞机撞入，由于建筑物的三个楼梯间的损坏或无法通行的情况，他们无法下楼。,他们走楼梯下楼。,zh,Chinese,0
5946,6ac9bc4abc,"Tuy nhiên, trước sự thất vọng của một số độc giả phương Tây, nó đã được trích dẫn ít nhất một lần trong bối cảnh có nguy cơ chôn vùi nước Mỹ.","Anh ấy thực sự muốn mua bia Mỹ, nhưng một vấn đề về từ ngữ khiến anh ấy không thể nói rõ ý của mình.",vi,Vietnamese,1
9759,82f6e0fb23,The broad aim of the party was to support capitalist policies and to maintain close relations with Great Britain and the rest of the Commonwealth.,Radical socialism and isolationism was the main goal of the party platform.,en,English,2
1691,e6a7518d49,كرهتها وكانت تخبر أختها كل يوم وتقول إنك تفعل شيئًا خاطئًا.,لقد أوضحت أن أختها لا تستطيع أن تفعل شيئًا جيدًا.,ar,Arabic,1
6026,522ac248a0,"By coordinating policy development and awareness activities in this way, she helps ensure timely communication of new risks and policies and regularly reminds staff of existing policies through monthly bulletins, intranet sites and presentations to new hires.",She can find new dangers with the awareness campaign.,en,English,1
8932,bc053c5ff6,But even managers who try to stay alert to these forces often collect their information anecdotally or informally.,Managers often collect their information anecdotally or informally.,en,English,0
1148,032ce336db,वह इस कठिन भूमि से आधुनिक जीवन बनाने का प्रयास करने वाले पहले और सबसे महत्वपूर्ण व्यक्ति हैं।,जमीन मुलायम थी।,hi,Hindi,2
4684,e409e70ada,Many lakes or sections of lakes are also wildlife conservation areas; these guides list the regulations in force to protect waterfowl and other animals.,There are no lakes or lake sections that also serve as wildlife conservation areas.,en,English,2
7451,74d668f345,Four infinite minutes passed.,"Those four minutes felt like infinity, due to the anticipation that everybody felt.",en,English,1
11514,94b7c9bf5b,"Around the corner is the huge, domed, neoclassical Panth??on.",Turn the corner to find the neo-classical pantheon.,en,English,0
10558,bf9df18fbe,"En mai ou juin, Clarke lui a demandé de passer de son portefeuille de lutte contre le terrorisme à un nouvel ensemble de responsabilités en matière de cybersécurité.",Clarke s'oppose fermement à déplacer son travail dans le domaine de la cybersécurité.,fr,French,2
11615,cb115766fe,The Wall Street Journal Business Bulletin has a fact that dramatizes how profoundly well-off this country is--Americans throw out approximately 12 percent of the stuff they buy at the supermarket.,Americans throw away 12 percent of what they buy at gas stations.,en,English,2
679,37949fd3ab,"3 It should be noted that the toxicity (LC50) of a sample observed in a range-finding test may be significantly different from the toxicity observed in the follow-up chronic definitive test (1) the definitive test is longer; and (2) the test can be performed on a sample collected at a different time, and possibly differing significantly in level of toxicity.",The toxicity of a sample in a range test can be very different from that in a subsequent test because the solutions change with temperature.,en,English,1
5566,ae32751fda,"Premièrement, le service des urgences offre potentiellement un moment d'enseignement pour les patients qui ont un problème d'alcool.",ED induit une rechute à l'alcoolisme chez les patients en convalescence.,fr,French,2
67,e390988e6f,"The seven grants come from a new nonprofit capacity-building program at the foundation, part of a trend among philanthropists to give money to help organizations grow stronger, rather than the program services they provide.","The grants come from a non-profit Capacity Building program at the foundation, demonstrating a trend among philanthropists to give money to develop organizations and then take them over.",en,English,1
9339,90b105f31e,"Uçak alev alsa bile ve neden alev alsın, radyasyonun kaçması için kurşundan yapılmış parçaların erimesi gerekir.","Uçak yandıktan sonra, radyasyon bir iletim parçasından sızacaktır.",tr,Turkish,0
11334,c5ce2d5878,there.,Of course it is.,en,English,0
2548,9eec35d8ee,"Gifted with uncanny composure, good humor, and a love of attention, he has been tireless in his pursuit of both celebrity and the cause of popular history ever since.",He worked very hard to become the highest grossing star at the box office.,en,English,1
4908,9f9a73bdc5,"The Weekly Standard argues that the U.S. should back Lee with words now and, if necessary, military force later, but the Washington Post reports that U.S. envoys will press him to back down.",The Weekly Standard and the Washington Post have identical views on how the United States will approach Lee.,en,English,2
11631,307c313d3a,Yeye ni mnyonya damu.,Anakunywa damu.,sw,Swahili,0
2584,3982e87714,"Sehemu moja ya majeshi ni kikosi cha ujenzi, ambacho kilikuwa kimefupishwa mpaka  C.B.",Maelezo ya Kikosi cha Ujenzi cha Jeshi C.B.,sw,Swahili,0
9836,2065a2af4f,"Vineyards hug the gentle slopes between the Vosges and the Rhine Valley along one narrow 120-kilometre (75-mile) strip that stretches from Marlenheim, west of Strasbourg, all the way to Thann, just outside Mulhouse.",The slopes between the Vosges and the Rhine Valley are the only place suitable for vineyards.,en,English,1
5727,7b2377ea05,"Unajua, nilipata faida nyingine, sikuichukulia kawaida, angalau kabla ya kampuni kubwa wakati mwingine kulipia masomo.",Wakati mwingine makampuni makubwa yatasaidia kulipa elimu yako.,sw,Swahili,0
8157,425ce0e560,"that's cool, like Pink Floyd or something uh yeah, basketball is great but after a while football","Yeah, I love basketball and football.",en,English,1
3096,11edfd2462,Matibabu haya ya wanaotoa mchango mkubwa ni ya kawaida.,Hakuna jipya kuhusu aina hii ya matibabu kwa washiriki wakubwa.,sw,Swahili,0
5399,7c1daca11a,"Оказа се, че той има съюзници от двете страни на границата.",Той имаше поддръжници на Конфедерацията само от едната страна на границата.,bg,Bulgarian,2
7132,dce3788a21,یقینی طور پر، FDA ہنگامی صورتحال پر شہر کے ردعمل کو منظم کرنے کے لیے ذمہ دار نہیں تھا، جیسا کہ میئر کی ہدایت کی ضرورت ہوگی۔,نیویارک پولیس ڈیپارٹمنٹ شہر کے ہنگامی ردعمل کے کنٹرول میں تھا۔,ur,Urdu,2
9571,ac8f2c7650,"And Alan Tonelson, of the USA.",Alan Tonelson has lived in the United States all his life.,en,English,1
4890,017c4fee83,"Nguvu, mbwa mwitu mzee! Nguvu! Captain Blood anawashauri.",Kapteni Damu alipiga kelele kwa mbwa mwitu mzee.,sw,Swahili,0
5206,1ee55d005a,Các quan chức của Hezbollah ở Beirut và Iran dự kiến ​​một nhóm sẽ đến vào cùng thời điểm.,"Nhóm đã có thể đến vào lúc nửa đêm, bởi vì không ai mong đợi sự xuất hiện của họ.",vi,Vietnamese,2
7965,5a87fb63a4,"¿No responderíamos a una llamada telefónica, no responderíamos a una pregunta, cancelaríamos una declaración o no iríamos a la biblioteca a investigar un caso?",Probablemente contestaremos el teléfono.,es,Spanish,0
11374,85cb148b80,Hutaenda? Alisema kati ya swali na malalamiko.,tafadhali usiende! aliomba.,sw,Swahili,2
4401,a3644df1f5,"Well, they're not my favorite team, I'm a little familiar with them","They are the best team in the league, and my favorite.",en,English,1
5030,ec65bff4f8,"A prosaic tourist district, it is filled with many good restaurants as well as shopping centers and department stores.",The rich tourist district has shopping centers and a good number of restaurants.,en,English,0
6037,b16ed1ade3,"In fact, it is wise to drive as little as possible within Paris; The ring road extends riph?? rique around town and worth staying on so you can be as close as possible to your destination.","When in Paris, driving should be avoided as much as possible.",en,English,0
1466,07337f0902,Well you know you have a ten minute limit and ten minutes it's okay and then they come over and tell you and say you have five seconds to say goodbye,"You have a ten minute time limit, but sometimes you are told to end early.",en,English,0
10821,0082b758ea,"Also, I'll assume that the cost of Mail Service 6.0a to move mail from base to shared is constant because a limited amount of mail moves back and forth between base and shared.","In the past, I have paid for Swiss Post's campaigns.",en,English,1
4972,dbd3c7be14,Сегодня в Пекине этого почти не осталось.,"В Пекине вы не увидите, что от него осталось.",ru,Russian,0
194,0ef9524ce7,"Bauerstein.""",Alfred Inglethorp,en,English,2
8864,299f1be230,"“I don't know what I would do without Legal Services,” James said.",James said the legal department helped him with the divorce.,en,English,1
